Employee_id,Username,department,position,age,tenure,monthly_income,performance_rating,job_satisfaction,risk_category,Password
84,Aryan Gupta,Operations,Director,44,12,12327,2,3,Medium,8518
85,Diya Joshi,Operations,Associate,52,1,3205,1,3,High,2460
86,Ishaan Mehta,Finance,Junior,32,3,10352,4,3,Medium,5242
87,Sai Kapoor,IT,Manager,31,5,7591,4,5,Medium,8477
88,Aarav Patel,Operations,Senior,24,4,6450,5,2,Medium,9750
89,Arjun Kapoor,Marketing,Lead,35,2,10214,1,5,Medium,1330
90,Ira Desai,Marketing,Junior,37,0,6811,4,4,Medium,5834
91,Riya Sharma,Sales,Junior,31,3,14814,1,1,High,6881
92,Saanvi Verma,Marketing,Manager,50,19,14791,1,1,High,8013
93,Avni Rathore,Sales,Director,31,1,13743,5,3,Medium,4880
94,Aditya Patel,IT,Lead,33,4,8141,1,3,High,3482
95,Ishaan Shah,Finance,Associate,51,2,11501,2,3,Medium,3113
96,Vivaan Pandey,Finance,Junior,62,8,5708,2,2,High,4498
97,Myra Bhatia,Finance,Manager,22,19,4991,3,4,Medium,8133
98,Arjun Mehta,Marketing,Associate,26,5,11463,5,4,Medium,7903
99,Ananya Tripathi,IT,Director,41,17,14834,3,4,Medium,5613
100,Avni Nair,Marketing,Lead,29,5,13014,2,4,Medium,5236
101,Aadhya Reddy,Marketing,Director,64,18,6273,3,3,Medium,8164
102,Meera Verma,IT,Junior,33,11,7538,5,1,High,730
103,Aditya Mishra,IT,Associate,22,10,11712,5,3,Medium,2268
104,Diya Gupta,IT,Associate,41,1,12168,1,4,High,2870
105,Aryan Mishra,IT,Associate,49,14,6722,4,3,Medium,9505
106,Saanvi Desai,Finance,Junior,64,11,6551,1,4,High,5692
107,Diya Tripathi,HR,Junior,58,11,13965,5,5,Low,1517
108,Ishaan Rathore,HR,Director,58,8,13744,2,1,High,4739
109,Ishita Desai,IT,Senior,33,1,5832,2,5,Medium,1021
110,Saanvi Malhotra,HR,Director,58,2,8679,1,2,High,874
111,Vihaan Malhotra,HR,Lead,49,11,9579,5,3,Medium,1555
112,Ananya Pandey,IT,Manager,36,15,3152,2,2,High,9580
113,Arjun Reddy,HR,Associate,27,0,8754,5,3,Medium,5042
114,Meera Patel,Marketing,Senior,41,2,14156,2,5,Medium,4100
115,Reyansh Shah,Sales,Manager,35,19,14108,5,4,Medium,6573
116,Riya Kumar,Sales,Senior,23,1,5800,3,4,Medium,2193
117,Riya Rathore,IT,Director,30,8,8310,5,3,Medium,1187
118,Meera Joshi,Finance,Junior,58,18,12944,5,4,Medium,6946
119,Ananya Mehta,IT,Associate,41,14,5610,1,5,Medium,6088
120,Ishita Kumar,Finance,Director,47,17,4104,3,4,Medium,4536
121,Ishita Sharma,Sales,Manager,50,10,13728,4,5,Low,4303
122,Meera Tripathi,IT,Manager,22,15,10361,1,2,High,8272
123,Aadhya Sharma,Operations,Manager,56,16,7199,4,5,Low,2922
124,Krishna Reddy,Marketing,Manager,27,4,6854,2,1,High,3856
125,Reyansh Bhatia,HR,Manager,58,11,10263,4,1,High,7898
126,Diya Reddy,Finance,Senior,26,10,14686,5,1,High,8344
127,Aryan Choudhary,Operations,Director,54,14,4914,4,3,Medium,9000
128,Ishaan Choudhary,HR,Associate,35,2,10365,1,3,High,4769
129,Sai Mishra,HR,Junior,33,0,6072,1,3,High,8303
130,Arjun Yadav,IT,Junior,63,19,12198,4,5,Low,353
131,Krishna Sharma,HR,Director,41,15,3406,1,3,High,47
132,Krishna Choudhary,Marketing,Director,45,1,3166,1,2,High,1771
133,Sai Bhatia,Operations,Junior,64,1,3508,4,1,High,7950
134,Vihaan Mishra,HR,Junior,55,2,4661,3,5,Medium,8111
135,Ira Tripathi,IT,Senior,46,7,6664,3,1,High,5345
136,Krishna Kapoor,Marketing,Lead,50,14,6489,2,3,High,8410
137,Ananya Choudhary,Sales,Associate,60,6,3680,1,5,Medium,6732
138,Ishaan Shah,Operations,Manager,52,5,5524,4,4,Medium,4694
139,Ira Sharma,HR,Lead,64,8,5120,1,2,High,9861
140,Vivaan Desai,IT,Director,44,19,8260,5,3,Medium,4748
141,Ira Shah,Sales,Junior,59,0,7357,1,3,High,7680
142,Aryan Yadav,Sales,Lead,41,7,4363,1,2,High,1552
143,Sai Desai,Finance,Associate,44,2,12523,3,2,High,8990
144,Ira Mishra,Marketing,Director,37,3,5292,4,4,Medium,4668
145,Avni Desai,HR,Manager,63,14,4538,1,3,High,8187
146,Saanvi Choudhary,IT,Manager,29,5,6408,3,3,High,7656
147,Sai Bhatia,Finance,Associate,42,14,10742,2,1,High,6522
148,Saanvi Pandey,Marketing,Associate,22,2,11752,3,5,Medium,7853
149,Aadhya Reddy,Finance,Junior,29,13,12291,3,5,Medium,8508
150,Avni Joshi,Operations,Manager,50,19,4903,3,1,High,4139
151,Diya Kumar,Marketing,Director,53,13,3174,1,5,Medium,3254
152,Ishaan Malhotra,Marketing,Lead,59,3,13348,1,2,High,727
153,Krishna Reddy,HR,Director,26,11,5230,2,5,Medium,4717
154,Ishita Malhotra,Marketing,Senior,43,16,7287,5,5,Low,9610
155,Ishaan Tripathi,Finance,Senior,55,6,7160,5,1,Medium,2465
156,Aryan Joshi,Marketing,Associate,22,8,10106,5,4,Low,1357
157,Ishita Tripathi,HR,Junior,47,2,12689,2,5,Medium,3184
158,Riya Mishra,HR,Senior,64,12,6171,5,5,Low,3091
159,Saanvi Kumar,Operations,Manager,31,14,4567,5,4,Low,6285
160,Reyansh Yadav,Finance,Director,51,17,4151,3,1,High,1676
161,Aadhya Joshi,Sales,Director,39,18,10619,1,4,Medium,8824
162,Aadhya Joshi,Sales,Associate,38,0,9033,1,1,High,8981
163,Aditya Reddy,Marketing,Lead,47,5,11560,3,2,High,1744
164,Diya Rathore,Operations,Associate,29,1,7946,3,1,High,2076
165,Ira Nair,IT,Lead,61,13,11234,3,2,High,1477
166,Arjun Tripathi,Marketing,Associate,33,5,4907,1,2,High,6514
167,Ishaan Rathore,Operations,Associate,48,13,6490,5,1,High,7586
168,Saanvi Desai,Finance,Associate,29,3,5535,3,3,Medium,901
169,Aarav Verma,Finance,Lead,46,7,7173,2,1,High,5926
170,Aadhya Mishra,Finance,Lead,25,2,14065,3,5,Medium,7666
171,Meera Kapoor,Finance,Associate,54,18,13016,4,5,Medium,903
172,Ishita Sharma,Finance,Senior,22,13,4293,3,3,Medium,1165
173,Sai Tripathi,Operations,Junior,40,19,7769,1,2,High,3184
174,Meera Verma,Operations,Junior,52,16,7796,3,3,Medium,9011
175,Vivaan Kapoor,HR,Junior,37,7,9871,4,5,Low,6036
176,Ananya Joshi,Sales,Lead,35,13,14578,2,3,High,6344
177,Sai Mishra,Finance,Lead,26,5,5972,5,1,High,5981
178,Saanvi Pandey,IT,Senior,62,15,6922,3,3,Medium,1827
179,Vihaan Tripathi,Operations,Junior,47,18,7997,4,2,Medium,6173
180,Vivaan Tripathi,IT,Junior,49,13,10032,4,1,High,1911
181,Vivaan Kapoor,IT,Associate,23,18,3992,2,4,Medium,2760
182,Ishita Kapoor,IT,Lead,27,2,11112,1,5,Medium,566
183,Aryan Bhatia,HR,Junior,30,9,8287,3,5,Medium,5606
184,Riya Nair,Operations,Director,54,18,13578,4,3,Medium,841
185,Avni Reddy,IT,Senior,62,8,5240,2,1,High,6650
186,Meera Verma,Finance,Director,46,19,4476,5,4,Medium,395
187,Avni Sharma,Marketing,Director,34,12,9426,4,1,High,4974
188,Aadhya Malhotra,IT,Senior,30,6,14599,2,5,Medium,1502
189,Saanvi Malhotra,HR,Director,34,13,3389,1,1,Critical,9601
190,Aryan Rathore,Operations,Junior,52,8,3999,1,4,Medium,3805
191,Saanvi Kapoor,HR,Lead,62,18,4855,4,3,Medium,1905
192,Ananya Gupta,IT,Senior,32,14,11125,4,2,Medium,8621
193,Aarav Patel,Operations,Associate,25,19,11850,3,1,High,8877
194,Aryan Bhatia,Marketing,Director,55,13,5763,2,2,High,126
195,Krishna Mehta,IT,Senior,59,5,6663,4,5,Medium,3357
196,Diya Choudhary,HR,Manager,25,3,7986,3,3,Medium,4944
197,Myra Reddy,Sales,Manager,59,7,4481,3,3,High,2523
198,Ishita Pandey,Finance,Lead,40,16,10256,4,1,High,5088
199,Ishita Gupta,HR,Junior,27,8,6731,1,3,High,3382
200,Arjun Joshi,Operations,Lead,55,0,10262,2,1,High,926
201,Reyansh Mehta,IT,Lead,39,19,3451,2,1,High,7072
202,Ira Sharma,Finance,Lead,34,13,13667,1,2,High,8851
203,Vihaan Patel,IT,Lead,62,10,14414,4,3,Medium,4094
204,Krishna Desai,Operations,Associate,44,2,12729,2,1,High,6482
205,Reyansh Choudhary,IT,Associate,40,8,6093,4,2,Medium,2056
206,Aarav Malhotra,Sales,Senior,32,13,3882,4,4,Medium,7850
207,Ananya Kapoor,Finance,Manager,22,8,7408,3,2,High,9091
208,Saanvi Desai,Finance,Lead,45,3,7068,1,2,High,5034
209,Arjun Joshi,Operations,Senior,28,3,13758,4,1,High,5881
210,Riya Patel,Sales,Manager,46,7,6277,5,5,Low,1471
211,Diya Nair,HR,Director,42,1,11566,1,5,Medium,2466
212,Myra Yadav,IT,Junior,36,8,14889,2,5,Medium,4285
213,Arjun Patel,Marketing,Associate,22,13,10951,3,2,High,3022
214,Meera Kumar,IT,Director,33,8,14254,2,1,High,4112
215,Ananya Kumar,IT,Manager,28,15,7690,2,3,High,8222
216,Saanvi Desai,HR,Director,36,16,14442,1,2,High,616
217,Arjun Pandey,IT,Junior,42,15,7595,2,2,High,4009
218,Reyansh Gupta,Sales,Manager,40,11,7559,4,1,High,9322
219,Saanvi Reddy,Sales,Director,50,2,10291,2,4,Medium,8299
220,Myra Bhatia,Finance,Associate,46,10,11160,3,2,High,6999
221,Diya Desai,Operations,Associate,54,13,3112,3,4,Medium,8176
222,Diya Tripathi,Marketing,Senior,53,17,8131,5,4,Medium,9041
223,Aarav Desai,IT,Director,56,4,6197,3,5,Medium,5798
224,Vihaan Sharma,IT,Lead,59,15,13570,2,1,High,4929
225,Aditya Malhotra,HR,Director,47,19,13116,3,4,Medium,6275
226,Riya Mehta,Operations,Manager,32,4,3139,1,1,High,9272
227,Saanvi Mishra,Sales,Manager,56,2,4424,3,5,Medium,5084
228,Sai Tripathi,Marketing,Director,29,11,5949,4,1,High,3394
229,Ishita Kumar,Finance,Junior,35,0,6168,1,2,High,8119
230,Myra Pandey,Sales,Associate,31,8,11708,5,4,Medium,9997
231,Ishita Kapoor,Operations,Manager,23,8,13808,4,1,High,2966
232,Ira Gupta,Finance,Associate,30,3,9043,2,3,High,5386
233,Arjun Reddy,HR,Manager,24,2,9989,2,1,High,5437
234,Vihaan Rathore,HR,Senior,42,16,10236,2,4,Medium,6301
235,Saanvi Pandey,IT,Lead,47,1,9261,4,5,Medium,8846
236,Riya Gupta,Operations,Manager,29,0,3887,4,5,Medium,2535
237,Reyansh Desai,Marketing,Associate,23,7,6104,4,4,Medium,4734
238,Aryan Mehta,Finance,Senior,27,12,3049,1,2,High,5404
239,Ishita Rathore,Sales,Manager,49,14,6951,1,2,High,1247
240,Arjun Desai,Operations,Junior,50,7,6560,2,5,Medium,8970
241,Ira Bhatia,Operations,Lead,47,11,3018,3,5,Medium,3044
242,Reyansh Choudhary,HR,Manager,46,11,7821,2,4,Medium,4053
243,Meera Verma,IT,Senior,33,13,9340,5,2,Medium,4203
244,Diya Choudhary,IT,Junior,26,14,11058,1,5,Medium,2328
245,Sai Shah,Finance,Director,55,14,12665,4,2,Medium,3511
246,Aditya Kapoor,HR,Senior,58,8,5606,1,5,Medium,6277
247,Myra Choudhary,Operations,Senior,36,18,10846,4,1,High,8182
248,Aarav Patel,Marketing,Junior,57,19,11643,5,3,Medium,6245
249,Ishita Tripathi,HR,Senior,36,7,9432,5,1,High,6745
250,Vihaan Bhatia,Finance,Junior,64,18,6765,1,5,Medium,5590
251,Ishita Bhatia,Finance,Manager,44,5,5438,4,3,Medium,4874
252,Myra Kapoor,HR,Junior,27,19,12741,5,3,Medium,6851
253,Krishna Reddy,Finance,Junior,64,18,9358,2,5,Medium,821
254,Vihaan Patel,HR,Lead,42,3,14666,2,5,Medium,6529
255,Arjun Gupta,Sales,Junior,44,6,11319,4,2,High,5570
256,Sai Joshi,HR,Junior,64,3,8941,1,5,Medium,5750
257,Ananya Kumar,HR,Director,37,11,10644,5,4,Medium,5314
258,Aadhya Tripathi,Finance,Manager,36,12,7855,1,5,Medium,5661
259,Aarav Kapoor,Finance,Lead,46,2,9547,2,4,Medium,1348
260,Aditya Bhatia,IT,Director,57,11,10196,5,5,Low,5155
261,Saanvi Patel,IT,Associate,32,1,8911,1,2,High,901
262,Diya Nair,Sales,Manager,36,1,9481,3,4,Medium,9876
263,Sai Rathore,IT,Manager,25,8,5761,4,1,High,8913
264,Myra Reddy,HR,Associate,42,0,7456,4,4,Medium,2760
265,Avni Malhotra,Finance,Junior,34,7,12607,3,2,High,3795
266,Avni Mishra,IT,Director,43,5,9361,2,4,Medium,9704
267,Ishaan Choudhary,IT,Senior,40,5,8693,5,5,Low,9424
268,Aadhya Reddy,Sales,Lead,55,17,8788,4,5,Low,6826
269,Riya Pandey,Operations,Senior,35,16,3201,3,2,High,8629
270,Meera Kapoor,Sales,Associate,25,11,9160,3,3,Medium,5734
271,Saanvi Choudhary,HR,Manager,48,5,13561,2,5,Medium,9396
272,Sai Bhatia,Finance,Manager,50,7,3517,2,1,High,991
273,Ishaan Sharma,Sales,Lead,49,18,10737,1,2,High,7194
274,Meera Mishra,IT,Manager,56,9,12533,4,4,Medium,2964
275,Ishita Reddy,Finance,Manager,29,0,4988,1,4,Medium,728
276,Aryan Kapoor,Finance,Lead,37,12,14737,3,1,High,205
277,Avni Yadav,IT,Director,63,16,6802,5,5,Low,5645
278,Reyansh Yadav,Sales,Director,57,2,8808,5,2,Medium,2859
279,Aadhya Patel,IT,Lead,51,7,14467,2,1,High,5092
280,Myra Nair,Operations,Associate,39,13,14846,5,5,Medium,4894
281,Meera Desai,Finance,Manager,23,2,10162,5,2,Medium,9957
282,Sai Desai,Marketing,Manager,34,15,13626,5,4,Medium,5912
283,Aditya Tripathi,Marketing,Associate,25,12,9241,3,2,High,8420
284,Diya Pandey,HR,Director,47,19,11399,5,3,Medium,1344
285,Diya Yadav,IT,Junior,46,16,8633,5,2,High,1200
286,Myra Tripathi,IT,Junior,51,12,8755,5,3,Medium,361
287,Aditya Joshi,HR,Junior,32,5,13825,1,2,High,8323
288,Aditya Desai,HR,Director,28,16,9309,3,3,Medium,2091
289,Saanvi Kumar,HR,Director,52,13,7117,2,4,Medium,2063
290,Reyansh Patel,Finance,Associate,31,16,11345,1,5,Medium,5084
291,Saanvi Kumar,Operations,Manager,60,7,14558,4,3,Medium,3510
292,Saanvi Choudhary,IT,Associate,34,10,4518,3,3,Medium,3170
293,Vihaan Kapoor,Finance,Associate,52,19,9163,3,4,Medium,7178
294,Reyansh Verma,HR,Director,28,0,5600,4,3,Medium,4120
295,Reyansh Shah,IT,Junior,63,6,5195,4,1,High,2452
296,Sai Gupta,Finance,Senior,63,16,6554,4,4,Medium,5244
297,Myra Mishra,Operations,Manager,57,9,13606,2,1,High,3082
298,Aditya Verma,Finance,Director,41,10,5849,5,4,Medium,2580
299,Saanvi Mehta,Operations,Junior,25,8,4742,3,3,High,7372
300,Krishna Gupta,HR,Senior,28,8,4306,5,1,Medium,5530
301,Ananya Mishra,Operations,Senior,22,4,6849,5,3,Medium,4690
302,Saanvi Pandey,IT,Director,63,16,10519,4,4,Medium,8614
303,Ishaan Tripathi,HR,Lead,34,8,7195,2,3,High,8508
304,Saanvi Yadav,IT,Manager,43,16,8178,1,1,Critical,4886
305,Krishna Kapoor,Marketing,Senior,42,18,5555,2,1,High,3194
306,Aditya Shah,Sales,Director,43,6,5305,5,3,Medium,2216
307,Ira Sharma,Operations,Director,49,8,10619,2,2,High,1864
308,Aditya Bhatia,Sales,Junior,30,6,12280,4,4,Medium,6073
309,Arjun Tripathi,Sales,Lead,47,12,5642,1,4,High,2807
310,Vivaan Malhotra,Operations,Manager,30,10,12369,4,3,Medium,3133
311,Ira Choudhary,HR,Associate,36,13,9409,1,2,High,7587
312,Vihaan Patel,Marketing,Junior,31,18,7757,5,1,High,971
313,Vihaan Choudhary,IT,Senior,45,10,5994,1,5,Medium,5462
314,Aadhya Kumar,Finance,Senior,63,12,11751,1,5,Medium,3508
315,Arjun Choudhary,IT,Junior,29,13,14156,1,3,High,8595
316,Aadhya Mehta,Finance,Director,45,12,4271,2,2,High,576
317,Aarav Nair,IT,Senior,37,0,4813,2,2,High,1754
318,Aditya Malhotra,Operations,Lead,47,7,14107,5,4,Medium,1525
319,Riya Tripathi,Marketing,Manager,48,11,11801,1,1,High,9076
320,Krishna Nair,Finance,Lead,58,18,5461,3,2,High,7383
321,Reyansh Tripathi,HR,Senior,25,11,7120,5,5,Low,3239
322,Aadhya Kapoor,IT,Associate,45,7,9124,1,1,High,3633
323,Krishna Mishra,IT,Manager,40,7,11475,1,1,High,5201
324,Riya Shah,Finance,Manager,57,12,14120,2,3,High,7562
325,Avni Joshi,HR,Junior,60,11,7396,5,2,Medium,1160
326,Sai Sharma,HR,Junior,31,15,12283,1,3,High,5463
327,Reyansh Mehta,Operations,Associate,46,0,3816,1,2,High,7741
328,Vivaan Bhatia,Operations,Director,39,12,10304,5,4,Medium,608
329,Ira Kumar,Operations,Manager,40,6,10331,3,3,Medium,8836
330,Reyansh Kumar,Operations,Associate,57,4,3082,5,3,Medium,6747
331,Vihaan Gupta,Operations,Junior,31,7,4920,5,5,Low,1210
332,Aryan Joshi,Operations,Junior,54,13,10817,3,3,Medium,5207
333,Vihaan Verma,Marketing,Manager,26,12,14683,5,2,Medium,6447
334,Aditya Joshi,HR,Lead,56,14,14336,1,5,Medium,9888
335,Ira Nair,Operations,Senior,55,16,5093,5,3,Medium,9880
336,Ira Tripathi,HR,Junior,54,14,10071,3,3,Medium,646
337,Vihaan Malhotra,HR,Director,42,19,10967,4,4,Medium,6496
338,Krishna Bhatia,Sales,Director,38,17,11367,5,3,Medium,3295
339,Ira Tripathi,Marketing,Junior,43,17,8285,2,1,High,4398
340,Ira Rathore,Operations,Lead,58,1,13896,1,5,Medium,36
341,Ira Joshi,IT,Lead,36,3,7937,1,1,High,6678
342,Reyansh Tripathi,Finance,Associate,56,0,3369,2,5,Medium,4632
343,Aryan Kapoor,IT,Director,49,3,4818,2,4,Medium,4578
344,Ishita Patel,Marketing,Associate,28,17,5101,5,3,Medium,8039
345,Ira Bhatia,Finance,Director,53,4,6490,2,3,Medium,4561
346,Aditya Mishra,Marketing,Senior,32,18,4779,4,3,Medium,8620
347,Ishaan Kapoor,HR,Senior,31,14,10674,3,5,Medium,3815
348,Sai Malhotra,Finance,Manager,30,7,4364,2,3,Medium,8640
349,Riya Bhatia,HR,Associate,35,19,10294,2,1,High,9366
350,Saanvi Tripathi,IT,Junior,34,16,14534,4,3,Medium,5981
351,Diya Nair,IT,Associate,46,0,6676,1,4,Medium,6864
352,Diya Joshi,Finance,Junior,23,11,5426,1,1,High,5893
353,Aadhya Malhotra,Finance,Lead,56,18,11264,5,3,Medium,4289
354,Aarav Kapoor,Operations,Associate,28,14,11089,4,3,Medium,8780
355,Krishna Shah,Marketing,Lead,42,8,5962,3,2,Medium,4610
356,Vivaan Sharma,Operations,Senior,39,6,3859,3,5,Medium,8296
357,Diya Bhatia,Marketing,Senior,24,1,7138,4,1,High,371
358,Aadhya Shah,Operations,Manager,63,8,5424,3,2,High,2116
359,Ananya Tripathi,HR,Associate,60,9,12256,1,4,High,8734
360,Ishaan Mehta,Finance,Lead,62,1,13409,3,5,Medium,4178
361,Vivaan Reddy,IT,Junior,32,18,7017,3,1,High,7067
362,Reyansh Desai,Marketing,Senior,60,10,13451,4,3,Medium,2973
363,Riya Pandey,Marketing,Senior,45,12,14943,4,1,High,2315
364,Meera Gupta,IT,Junior,40,9,13278,3,3,Medium,6186
365,Avni Mehta,Operations,Lead,25,13,11560,2,5,Medium,2195
366,Vihaan Malhotra,Marketing,Lead,47,17,13996,4,3,Medium,2229
367,Meera Joshi,HR,Associate,59,18,11342,5,4,Medium,704
368,Vivaan Shah,Finance,Associate,63,8,4134,5,3,Medium,8715
369,Avni Gupta,IT,Director,53,6,8166,1,4,High,1038
370,Sai Choudhary,Finance,Director,60,2,8119,3,5,Medium,7062
371,Krishna Desai,Marketing,Manager,57,19,8694,2,5,Medium,4208
372,Avni Kapoor,Marketing,Senior,61,5,13976,1,1,High,5393
373,Myra Pandey,IT,Associate,58,1,9136,3,4,Medium,7889
374,Saanvi Mishra,HR,Lead,54,5,8485,4,4,Medium,9754
375,Riya Yadav,Sales,Junior,57,2,7164,5,2,Medium,391
376,Aryan Joshi,IT,Lead,24,15,5346,2,2,High,6453
377,Vivaan Shah,Sales,Senior,30,7,8039,5,2,Medium,3517
378,Aarav Pandey,Operations,Director,29,1,7897,4,3,Medium,7861
379,Arjun Mishra,Sales,Lead,54,16,13442,3,2,High,5416
380,Aryan Kumar,HR,Manager,27,8,11252,4,4,Medium,9156
381,Diya Gupta,Operations,Senior,62,11,8041,4,3,Medium,6617
382,Krishna Kumar,Sales,Director,60,2,14202,5,5,Low,613
383,Sai Kapoor,Operations,Junior,25,10,6901,2,1,High,2365
384,Ananya Joshi,Sales,Director,34,0,4337,4,2,Medium,1952
385,Reyansh Bhatia,HR,Manager,23,12,4184,5,5,Low,2057
386,Vihaan Gupta,Sales,Senior,26,14,7426,2,4,Medium,4339
387,Myra Joshi,Sales,Junior,48,4,4551,3,1,High,6158
388,Vihaan Choudhary,Sales,Manager,53,16,4629,3,5,Medium,5662
389,Sai Pandey,IT,Director,42,5,12519,1,1,High,94
390,Vivaan Joshi,IT,Manager,29,10,4526,5,2,Medium,3036
